new_order;old_order;type;p1_x;p1_y;p2_x;p2_y;rx;ry;filled;work
0;0;0;100;100;1300;100;0;0;0;1;
1;1;0;1300;100;1300;1000;0;0;0;1;
2;2;0;1300;1000;100;1000;0;0;0;1;
3;3;0;100;1000;100;100;0;0;0;1;
4;4;0;100;348.5;265;348.5;0;0;0;1;
5;5;0;265;348.5;265;751.5;0;0;0;1;
6;6;0;265;751.5;100;751.5;0;0;0;1;
7;7;0;100;751.5;100;348.5;0;0;0;1;
8;12;0;100;458.5;155;458.5;0;0;0;1;
9;13;0;155;458.5;155;641.5;0;0;0;1;
10;14;0;155;641.5;100;641.5;0;0;0;1;
11;15;0;100;641.5;100;458.5;0;0;0;1;
12;23;1;210;550;209.423;549.52;0.75;0.75;1;1;
13;21;1;700;550;608.5;549.911;91.5;91.5;0;1;
14;22;1;700;550;699.25;549.999;0.75;0.75;1;1;
15;20;0;700;100;700;1000;0;0;0;1;
16;11;0;1135;751.5;1135;348.5;0;0;0;1;
17;8;0;1135;348.5;1300;348.5;0;0;0;1;
18;9;0;1300;348.5;1300;751.5;0;0;0;1;
19;10;0;1300;751.5;1135;751.5;0;0;0;1;
20;19;0;1245;641.5;1245;458.5;0;0;0;1;
21;16;0;1245;458.5;1300;458.5;0;0;0;1;
22;17;0;1300;458.5;1300;641.5;0;0;0;1;
23;18;0;1300;641.5;1245;641.5;0;0;0;1;
24;24;1;1190;550;1190.39;550.643;0.75;0.75;1;1;
